Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
"APGAR score at time at 1 minutes after birth (0-10, unknown)",Coded,unknown,checkbox,No,no,PIH:12377,CIEL:1067,,
"APGAR score at time at 5 minutes after birth (0-10, unknown)",Coded,N/A,radio,No,no,CIEL: 159604,,,
"APGAR score at time at 5 minutes after birth (0-10, unknown)",Coded,unknown,checkbox,No,no,PIH:11932,CIEL:1067,,
Assisted ventilation at birth,Coded,Yes | No | Unknown,radio,No,no,CIEL:162131,CIEL:1065|CIEL:1066|CIEL:1067,,
Birth weight (kg),Coded,N/A,radio,No,no,CIEL:5916,,,
Gestation age,Coded,N/A,radio,No,no,CIEL:165425,,,
Diagnosis at admission,Coded,CIEL:127638 | PIH:7557 | CIEL:226 | CIEL:114100 | CIEL:115835 | CIEL:113841 | CIEL:143849 | CIEL:115368 | CIEL:822 | CIEL:124954,checkbox,No,no,PIH:12564,CIEL:127638|PIH:7557|CIEL:226|CIEL:114100|CIEL:115835|CIEL:113841|CIEL:143849|CIEL:115368|CIEL:822|CIEL:124954,Diagnosis at admission,
Diagnosis at admission,Coded,CIEL:5622,checkbox,No,no,PIH:12564,CIEL:5622,,
Management,Coded,CIEL:167422 | CIEL:164174 | CIEL:162738 | CIEL:165944 | CIEL:161911 | CIEL:1063 | CIEL:161651 | CIEL:1187,checkbox,No,no,CIEL:165995,CIEL:167422|CIEL:164174|CIEL:162738|CIEL:165944|CIEL:161911|CIEL:1063|CIEL:161651|CIEL:1187,Management,
Management,Coded,CIEL:5622,checkbox,No,no,CIEL:165995,CIEL:5622,,
Outcome of admission at SCBU:,Coded,CIEL:1692 | PIH:11521 | CIEL:1694 | CIEL:159,radio,No,CIEL:159 → show #scbu-death,PIH:8620,CIEL:1692|PIH:11521|CIEL:1694|CIEL:159,,
Date and time of death,Date,N/A,date,No,no,PIH:14399,,Death Outcome,CIEL:163528
Cause of death/ mortality,Coded,CIEL:127638 | PIH:7557 | CIEL:226 | CIEL:114100 | CIEL:114100 | CIEL:113841 | Unknown,radio,No,no,CIEL:159482,CIEL:127638|PIH:7557|CIEL:226|CIEL:114100|CIEL:114100|CIEL:113841|CIEL:1067,Death Outcome,CIEL:163528
"if other cause of death, specify:",Coded,N/A,radio,No,no,CIEL:160218,,Death Outcome,CIEL:163528
Age at death (days),Coded,N/A,radio,No,no,PIH:14393,,Death Outcome,CIEL:163528
Weight at time of death (kg),Coded,N/A,radio,No,no,CIEL:5089,,Death Outcome,CIEL:163528
"If alive, date of discharge, or LAMA, or referral",Date,N/A,date,No,no,CIEL:1641,,,
Name of staff/in-charge of completing the information,Coded,N/A,radio,No,no,PIH:2594,,,
