Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
COPD exacerbation,Coded,yes|no|unknown,radio,,Show details if yes,CIEL:166093,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
Number of COPD exacerbations since last visit,Numeric,,number,,Show if COPD exacerbation is yes,CIEL:167821,,COPD evaluation,PIH:14620
If exacerbation hospitalization needed,Coded,yes|no|unknown,radio,,Show if COPD exacerbation is yes,PIH:14626,CIEL:1065|CIEL:1066|CIEL:1067,COPD evaluation,PIH:14620
GINA Exacerbations more than or equal to 1,Coded,yes|no,radio,,,PIH:14618,PIH:YES|PIH:NO,GINA assessment,PIH:14587
GINA Datetime symptoms more than twice a week,Coded,yes|no,radio,,,PIH:11803,PIH:YES|PIH:NO,GINA assessment,PIH:14587
GINA Inhaler for symptoms more than twice a week,Coded,yes|no,radio,,,PIH:11991,PIH:YES|PIH:NO,GINA assessment,PIH:14587
GINA Activity limitations due to asthma,Coded,yes|no,radio,,,PIH:11925,PIH:YES|PIH:NO,GINA assessment,PIH:14587
GINA Night waking due to asthma,Coded,yes|no,radio,,,PIH:11731,PIH:YES|PIH:NO,GINA assessment,PIH:14587
GINA Triggers cause exacerbation of asthma,Coded,yes|no,radio,,,PIH:14619,PIH:YES|PIH:NO,GINA assessment,PIH:14587
Asthma severity,Coded,,radio,,,PIH:7405,CIEL:1498|CIEL:1499|CIEL:1500,,
Inhaler education,Coded,yes|no|unknown,radio,,,PIH:7399,PIH:YES|PIH:NO|CIEL:1067,,
Good inhaler technique,Coded,yes|no|unknown,radio,,,PIH:7397,PIH:YES|PIH:NO|CIEL:1067,,
Understands treatment,Coded,yes|no|unknown,radio,,Followup only,CIEL:167914,PIH:YES|PIH:NO|PIH:UNKNOWN,Awareness and treatment,PIH:14812
Ability to titrate treatment,Coded,yes|no|unknown,radio,,Followup only,PIH:14741,PIH:YES|PIH:NO|PIH:UNKNOWN,Awareness and treatment,PIH:14812
Overall treatment adherence,Coded,yes|no|unknown,radio,,Followup only,CIEL:164075,PIH:YES|PIH:NO|PIH:UNKNOWN,Awareness and treatment,PIH:14812
Missed doses in past week,Coded,yes|no|unknown,radio,,Followup only,CIEL:167819,PIH:YES|PIH:NO|PIH:UNKNOWN,Awareness and treatment,PIH:14812
Aware and understands the disease,Coded,yes|no|unknown,radio,,Followup only,CIEL:167021,PIH:YES|PIH:NO|PIH:UNKNOWN,Awareness and treatment,PIH:14812
Patient condition improved,Coded,yes|no|unknown,radio,,Followup only,CIEL:1898,PIH:YES|PIH:NO|PIH:UNKNOWN,Disease control,PIH:14812
Lung decompensation,Coded,yes|no|unknown,radio,,Followup only,PIH:20008,PIH:YES|PIH:NO|PIH:UNKNOWN,Disease control,PIH:14812
Send for admission (after lung decompensation),Coded,yes|no|unknown,radio,,Show if Lung decompensation is yes,CIEL:1788,PIH:YES|PIH:NO|PIH:UNKNOWN,Disease control,PIH:14812
# of missed doses in past week,Numeric,,number,,Show if Missed doses in past week is yes,CIEL:167918,,Awareness and treatment,PIH:14812
Spirometry date,Date,,date,,,CIEL:163724,,,PIH:14610
FEV1,Numeric,,number,,,PIH:14611,,,PIH:14610
FVC,Numeric,,number,,,PIH:14612,,,PIH:14610
FEV1 FVC,Coded,obstructive|normal|restrictive,radio,,,PIH:14613,CIEL:1115|CIEL:164471|CIEL:164470,,PIH:14610
Post-bronchodilator,Coded,positive|negative,radio,,,PIH:14614,CIEL:703|CIEL:664,,PIH:14610
Spirometry progress,Coded,partial improvement|no improvement|complete improvement,radio,,,PIH:14617,CIEL:162677|CIEL:162678|CIEL:162679,,
Remarks,Text,,text,,,PIH:11972,,,
