Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
{q Label},Coded,Yes | No,radio,No,no,PIH:21498,CIEL:1065|CIEL:1066,,
{q Label},Coded,Yes | No,radio,No,no,PIH:21499,CIEL:1065|CIEL:1066,,
Rapid Tests,Coded,"I hereby agree and consent to the procedure cryotherapy to be performed on me, the nature of which has been explained to me. I understand that an assurance                 has been given that the procedure will be performed by a particular person. I have also been informed what I need to care for myself after the procedure.",radio,No,no,CIEL:1710,CIEL:1065,,
CIEL:1651,Coded,CIEL:162812 | CIEL:166706 | CIEL:162810,checkbox,No,no,CIEL:1651,CIEL:162812|CIEL:166706|CIEL:162810,CIEL:1651,
PIH:21615,Coded,PIH:21600 | PIH:21614,checkbox,No,no,PIH:21615,PIH:21600|PIH:21614,PIH:21615,
Reason for delay,Text,N/A,text,No,no,PIH:REASON TO POSTPONE TEXT,,,
Subform: drug-order-widget.xml,Other,Subform — configuration/pih/subforms/drug-order-widget.xml,subform,No,no,,,,
Referred to,Coded,PIH:7831 | PIH:FAMILY PLANNING SERVICES | PIH:MENTAL HEALTH SERVICES | CIEL:5622,radio,No,CIEL:5622 → show #other-referral,CIEL:1272,PIH:7831|PIH:FAMILY PLANNING SERVICES|PIH:MENTAL HEALTH SERVICES|CIEL:5622,,PIH:12837
"if other, specify referral site",Text,N/A,text,No,no,PIH:11134,,,PIH:12837
Reason for referral,Coded,CIEL:162810 | CIEL:162812 | CIEL:167159 | CIEL:5622,checkbox,No,no,CIEL:1887,CIEL:162810|CIEL:162812|CIEL:167159|CIEL:5622,Reason for referral,
"if other gynecological condition, specify reason",Text,N/A,text,No,no,CIEL:164359,,,
Disposition,Other,Disposition widget,disposition widget,Yes,no,,,,
Next appointment date,Date,N/A,date,No,no,PIH:RETURN VISIT DATE,,,
Notes and recommendations,Text,N/A,textarea,No,no,PIH:COMMENTS AT CONCLUSION OF EXAMINATION,,,
